TOKEN USAGE REPORT
==================
Target Directory: E:\tmp\pos-arch\Document-Series
Total Files Scanned: 2539
Total Tokens: 13,721,937
Time Taken: 21.77 seconds
==================

TOKENS     | FILE PATH
---------- | --------------------------------------------------
28500      | ./Document-Series\Phase-06_ERP-Advanced-Modules\SubPhase-01_Employee-Management\Group-C_Job-Employment-Details\01_Tasks-35-44_Job-Fields.md
27380      | ./Document-Series\Phase-06_ERP-Advanced-Modules\SubPhase-03_Attendance-System\Group-B_Attendance-Record-Model\01_Tasks-17-24_Choices-Core-Fields.md
27010      | ./Document-Series\Phase-06_ERP-Advanced-Modules\SubPhase-07_Payslip-Generation\Group-C_PDF-Generation-Engine\01_Tasks-33-43_HTML-Template-Design.md
26128      | ./Document-Series\Phase-06_ERP-Advanced-Modules\SubPhase-01_Employee-Management\Group-D_Documents-Bank-Details\02_Tasks-58-66_Bank-Account-Model.md
25875      | ./Document-Series\Phase-06_ERP-Advanced-Modules\SubPhase-03_Attendance-System\Group-D_Overtime-Calculations\02_Tasks-56-62_Settings-Celery-Tasks.md
25758      | ./Document-Series\Phase-06_ERP-Advanced-Modules\SubPhase-12_Tax-Reporting\Group-B_VAT-Return\02_Tasks-25-34_VATReturn-Generator.md
25615      | ./Document-Series\Phase-08_Webstore-Ecommerce-Platform\SubPhase-07_Checkout-Flow\Group-D_Step3-Payment\02_Tasks-61-68_COD-BNPL-Verify.md
25564      | ./Document-Series\Phase-06_ERP-Advanced-Modules\SubPhase-07_Payslip-Generation\Group-B_PDF-Template-Design\01_Tasks-17-27_Line-Item-Models.md
25554      | ./Document-Series\Phase-08_Webstore-Ecommerce-Platform\SubPhase-07_Checkout-Flow\Group-D_Step3-Payment\01_Tasks-53-60_Methods-Bank-Transfer.md
25224      | ./Document-Series\Phase-06_ERP-Advanced-Modules\SubPhase-04_Leave-Management\Group-A_LeaveType-Policy-Models\02_Tasks-10-18_Restrictions-Policy-Seed.md
25163      | ./Document-Series\Phase-06_ERP-Advanced-Modules\SubPhase-11_Financial-Reports\Group-D_Balance-Sheet\01_Tasks-49-58_BalanceSheet-Calculations.md
25000      | ./Document-Series\Phase-06_ERP-Advanced-Modules\SubPhase-09_Journal-Entries\Group-C_Auto-Generated-Entries\03_Tasks-42-48_AutoEntry-Generator.md
24725      | ./Document-Series\Phase-06_ERP-Advanced-Modules\SubPhase-03_Attendance-System\Group-A_Shift-Schedule-Models\01_Tasks-01-10_App-Shift-Model.md
24627      | ./Document-Series\Phase-10_AI-Features-Advanced-Capabilities\SubPhase-03_Demand-Forecasting\Group-D_Prediction-Algorithms\02_Tasks-57-66_ARIMA-Selector-Task.md
24450      | ./Document-Series\Phase-06_ERP-Advanced-Modules\SubPhase-05_Salary-Structure\Group-D_Statutory-Components-EPF-ETF-PAYE\02_Tasks-56-64_PAYE-TaxSlab-Exemption.md
24266      | ./Document-Series\Phase-06_ERP-Advanced-Modules\SubPhase-13_Dashboard-KPIs\Group-B_Sales-KPIs\02_Tasks-25-32_Sales-Trends-Caching.md
